Date,Topic,XLSX_URL,PDF_URL,FILENAME
18.11.2020,"Corona-Maßnahmen (epidemische Lage), Änderungsantrag Bündnis 90/Die Grünen",/resource/blob/807338/9cf4ba54b63f101b7a4c037101052dec/20201118_2_xls.xlsx,/resource/blob/807342/3bb3c59595ae62080ff2f913eec58856/20201118_2.pdf,5e62eba2-b774-4674-adff-40450fff1533
19.11.2020,Energiesicherheit gewährleisten - Nord Stream 2 unterstützen (Beschlussempfehlung),/resource/blob/807742/1f3bf337dd758a34a02a292b4fbf5efd/20201119_1_xls.xlsx,/resource/blob/807740/354864219dbf5aee3fb00577c3969c99/20201119_1.pdf,cc64c968-2b57-4cb5-b700-d410de3ffba9
18.11.2020,"Corona-Maßnahmen (epidemische Lage), Gesetzentwurf CDU/CSU, SPD",/resource/blob/807346/ac648d5c46507804948768a3cdff76a0/20201118_3_xls.xlsx,/resource/blob/807344/ebd740d98ef6ea5cb146b75f1e6b3a0a/20201118_3.pdf,c92a670e-813c-400a-8b72-edb788bc3121
30.10.2020,Untersuchungsausschuss Infektionsschutz - Abstrakte Normenkontrolle,/resource/blob/802720/8acc8bff4278e06f1f70555e6bb5ca98/20201030_1_xls.xlsx,/resource/blob/802716/78e95c6233bfaf84d86c7c5a16b786cb/20201030_1.pdf,752be0f5-3b54-4027-937d-979e83cb77ee
30.10.2020,Einsetzung Untersuchungsausschuss Infektionsschutz,/resource/blob/802758/6ac6ddff04dbfc652aadebc5124bde22/20201030_2_xls.xlsx,/resource/blob/802742/3640436af597541e37dd3c6bcab7e3c3/20201030_2.pdf,1cb32bce-5a8f-40b5-abf8-d1e4dd549bef
29.10.2020,Bundeswehreinsatz im Irak (Beschlussempfehlung),/resource/blob/802458/0d4665a9ca191c0c761f1378c14e0811/20201029_2_xls.xlsx,/resource/blob/802456/1e205400f26ed3b0340040063fba5ead/20201029_2.pdf,71221bb3-dedb-4a7f-9ee2-53803a9e838f
09.10.2020,Einführungsgesetz zur Abgabenordnung,/resource/blob/798350/2482812c4413e3e3e43caeb923331837/20201009_3_xls.xlsx,/resource/blob/798352/cfda40c3ac0712710976b92092c61872/20201009_3.pdf,92d19f31-45ad-480a-a2b0-71dbf9cba4f0
09.10.2020,Finanzielle Lasten der Migrationspolitik umfassend offenlegen,/resource/blob/798348/8aabdae6f8473c33c2f9bd842c8c45c3/20201009_2_xls.xlsx,/resource/blob/798346/678992cb13155f4eb596be71bca51af9/20201009_2.pdf,86396d34-9497-4b6f-9195-a8f2e648e351
09.10.2020,Bundeswahlgesetz (Wahlversammlungen),/resource/blob/798280/d2a67d0130b6c7ef6a6b0fc25925efd6/20201009_1_xls.xlsx,/resource/blob/798282/396d65d7c8beba433c3e91f1722f9cac/20201009_1.pdf,731b3222-3e7c-42d3-97d7-99331bed39ce
08.10.2020,Bundeswahlgesetz,/resource/blob/798220/96af124f6a0359b1b5c896ef6c9e0b5e/20201008_1_xls.xlsx,/resource/blob/798218/2b62b7380d6bba4df61ff456f1fb18a5/20201008_1.pdf,2cd31103-a52f-4572-abe8-d50f933441c4
18.09.2020,Konsequenzen aus dem Brand in Moria - Antrag 19/22679,/resource/blob/793632/3ddb2a6095e3db5734cb878cbcbf42b8/20200918_2_xls.xlsx,/resource/blob/793634/0647d1c035c3b55cb3537ded76ca01f1/20200918_2.pdf,9988354b-f567-413a-b2de-4cf943255767
18.09.2020,Konsequenzen aus dem Brand in Moria - Beschlussempfehlung 19/22579 zum Antrag 19/22264,/resource/blob/793628/6b93f27e05b924d33acd49a91e67e851/20200918_1_xls.xlsx,/resource/blob/793630/ecbf9090403df3796b6cb376cbd01005/20200918_1.pdf,97091760-b913-41a8-8e7c-a0f9db035fd8
17.09.2020,Finanzielle Entlastung der Kommunen,/resource/blob/793404/449f750896eff3c919426fae1b8029de/20200917_1_xls.xlsx,/resource/blob/793402/d025df8d969024b09630507d936acd25/20200917_1.pdf,49675c98-2c3a-4ffd-8fef-0271a0b4b5d7
16.09.2020,Mobilität der Zukunft (Beschlussempfehlung),/resource/blob/793156/494136c7d32bf2f7b57bdb9ee5f67d7c/20200916_1_xls.xlsx,/resource/blob/793154/bf8bca1ca77bc7bd8fc9817a318056a5/20200916_1.pdf,c763fbbb-b735-43f5-8571-3b3a46946f7a
10.09.2020,Abstrakte Normenkontrolle - Düngeverordnung (Beschlussempfehlung),/resource/blob/791698/852a05058b1d4614945d0f38b4ecb224/20200910_2_xls.xlsx,/resource/blob/791696/678d536e634ef968be6476d385158945/20200910_2.pdf,91c10f6b-ec23-4840-bd9c-89e78fbec8d2
